Który_mechanizm_w_systemie_UNIX_umożliwia_dynamiczne_ładowanie_modułów_uwierzytelniania,_takich_jak_LDAP_lub_Kerberos?; Access_Control_Lists_(ACL); Pluggable_Authentication_Modules_(PAM); System_quota; Sygnały_(np._SIGTERM); B; System_PAM_pozwala_na_konfigurację_modułów_uwierzytelniania_poprzez_pliki_w_/etc/pam.d/,_co_umożliwia_integrację_różnych_metod,_np._LDAP.
Który_katalog_w_UNIX_przechowuje_logi_systemowe?; /home; /var/log; /etc; /tmp; B; Katalog_/var/log_jest_domyślnym_miejscem_przechowywania_plików_dziennika_systemowego,_takich_jak_syslog_lub_auth.log.
Co_oznacza_skrót_ACL_w_kontekście_systemów_UNIX?; Application_Control_Layer; Access_Control_List; Advanced_Compression_Library; Asynchronous_Communication_Link; B; ACL_(Access_Control_List)_rozszerza_standardowe_uprawnienia_plików,_umożliwiając_precyzyjne_zarządzanie_dostępem_dla_wielu_użytkowników/grup.
Jakie_zadanie_pełni_system_kontyngentów_(quota)_w_UNIX?; Ogranicza_liczbę_równoczesnych_połączeń_sieciowych; Kontroluje_przestrzeń_dyskową_lub_liczbę_plików_użytkownika; Zarządza_priorytetami_procesów; Blokuje_nieautoryzowany_dostęp_do_portów; B; Quota_służy_do_ograniczania_zużycia_zasobów_dyskowych,_np._poprzez_limit_miejsca_lub_liczby_inode’ów.
Które_polecenie_zmienia_wartość_*nice*_procesu_w_UNIX?; chmod; renice; kill; top; B; Polecenie_renice_pozwala_zmienić_priorytet_(wartość_nice)_działającego_procesu,_np._renice_-n_5_-p_1234.
Który_mechanizm_NIE_jest_używany_do_komunikacji_między_procesami_w_UNIX?; Gniazda_sieciowe_(sockets); Pamięć_współdzielona_(shared_memory); Sygnały_(signals); Tablice_VLA_(Variable_Length_Array); D; Tablice_VLA_to_funkcjonalność_języka_C,_a_nie_mechanizm_IPC_w_UNIX.
Do_czego_służy_protokół_Kerberos?; Kompresja_danych; Bezpieczne_uwierzytelnianie_sieciowe_z_użyciem_biletów; Dynamiczne_przydzielanie_adresów_IP; Zarządzanie_pamięcią_podręczną; B; Kerberos_wykorzystuje_bilety_(TGT_i_service_tickets)_do_uwierzytelniania_w_środowiskach_sieciowych,_np._w_Active_Directory.
Co_opisuje_EBNF_(Extended_Backus-Naur_Form)?; Struktury_danych_w_bazach_relacyjnych; Składnię_języków_programowania_z_użyciem_operatorów_powtórzenia_i_opcjonalności; Algorytmy_sortowania; Zasady_bezpieczeństwa_sieciowego; B; EBNF_rozszerza_BNF_o_operatory_jak_*,_?,_|,_co_ułatwia_definiowanie_składni,_np._dla_wyrażeń_regularnych.
Który_mechanizm_w_językach_programowania_zapobiega_naruszeniom_pamięci_(np._buffer_overflow)?; Rekurencja_ogonowa; Kontrola_zakresu_(bounds_checking); Funkcje_wyższego_rzędu; Polimorfizm_parametryczny; B; Kontrola_zakresu_sprawdza,_czy_indeksy_mieszczą_się_w_dopuszczalnych_granicach,_np._w_Java_lub_Python.
Które_kodowanie_znaków_jest_kompatybilne_z_ASCII_i_reprezentuje_'€'_jako_trzy_bajty_(0xE2_0x82_0xAC)?; UTF-16; UTF-8; ISO-8859-2; EBCDIC; B; UTF-8_używa_1-4_bajtów_na_znak_i_zachowuje_kompatybilność_z_ASCII_dla_wartości_0-127.
Co_oznacza_przekazywanie_parametrów_przez_nazwę_(call_by_name)?; Przekazanie_kopii_wartości; Opóźnione_obliczanie_wyrażenia_aż_do_jego_użycia; Przekazanie_wskaźnika_do_zmiennej; Automatyczne_rzutowanie_typu; B; Przekazywanie_przez_nazwę_(np._w_makrach)_oblicza_wyrażenie_dopiero_w_momencie_jego_referencji.
